Brand,Product,Barcode,Stock,Price,MOQ,GTIN,Target price,TargetPrice,OriginalPrice,PercentToTarget,Reduction_Factor
FWEE,Lip&Cheek Glowy Jelly Pot JM03 Cream Tea 4g,8809652585772,260,6.83,24,8809652585772,6.83,6.83,6.83,0.0,0.0
FWEE,Lip&Cheek Glowy Jelly Pot JN02 Milky 4g,8809652585628,259,6.83,24,8809652585628,6.83,6.83,6.83,0.0,0.0
FWEE,Lip&Cheek Glowy Jelly Pot JR01 Squeezed 4g,8809652585550,609,6.83,24,8809652585550,6.83,6.83,6.83,0.0,0.0
FWEE,Lip&Cheek Glowy Jelly Pot JS01 Rosy Glaze 4g,8809652585574,619,6.83,24,8809652585574,6.83,6.83,6.83,0.0,0.0
EDGE U,PLANET MAGNET,8809785848294,1126,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,BLACK HOLE MAGNET,8809785848355,1132,1.4,24,,,0.0,1.4,0.0,0.0
EDGE U,PURPLE NIGHT MAGNET,8809785848324,1124,1.4,24,,,0.0,1.4,0.0,0.0
TIRTIR,MASK FIT RED MINI CUSHION 29N NATURAL BEIGE,8809928135670,0,7.59,24,,,0.0,7.59,0.0,0.0
ARENCIA,(EU Package) CALENDULA RICE MOCHI CLEANSER 120G,8809562191438,2511,8.05875,24,8809562191438,8.06,8.06,8.75,0.079,0.079
ARENCIA,(EU Package) Holy Hyssop Serum 30 50g,8809562190820,2555,9.257040000000002,24,8809562190820,9.26,9.26,11.96,0.226,0.226
ANUA,[RENEW] PEACH 70% NIACINAMIDE SERUM 30ml,8809640735288,501,14.4885,24,8809640735288,10.49,10.49,22.29,0.529,0.35
ANUA,[RENEW] PEACH 77 NIACIN ESSENCE TONER 250ml,8809640735639,0,20.64,24,,,0.0,20.64,0.0,0.0
ANUA,[RENEW] NIACINAMIDE 10% + TXA 4% SERUM 30ml,8809640735820,0,23.94,24,,,0.0,23.94,0.0,0.0
ANUA,[RENEW] RICE 7 CERAMIDE HYDRATING BARRIER SERUM 50ml,8809640736131,0,23.94,24,,,0.0,23.94,0.0,0.0
BIODANCE,Sea Kelp Gel Toner Pad (60ea),8809891185276,0,21.46,24,,,0.0,21.46,0.0,0.0
BIODANCE,Vita Niacinamide Gel Toner Pad (60ea),8809891185283,300,21.46,24,8809891185283,21.46,21.46,21.46,0.0,0.0
celimax,*Renew* FRESH BLACKHEAD JOJOBA CLEANSING OIL 150ml,8806050298525,283,6.994260000000001,24,8806050298525,6.99,6.99,8.82,0.207,0.207
celimax,Ji Woo Gae Cica BHA Blemish Toner Pad (60pads),8809783321225,0,11.3,24,,,0.0,11.3,0.0,0.0
celimax,Dual Barrier Skin Wearable Cream 50mL,8809606850505,0,13.34,24,,,0.0,13.34,0.0,0.0
celimax,Dual Barrier Boosting Serum 30mL,8809606850482,0,12.26,24,,,0.0,12.26,0.0,0.0
celimax,(Renew) Dual Barrier Creamy Toner 150ml,8809606850475,0,11.3,24,,,0.0,11.3,0.0,0.0
celimax,Pore+Dark Spot Brightening Care Sunscreen 50ml,8809971484510,0,9.74,24,,,0.0,9.74,0.0,0.0
COSRX,Advanced Snail Peptide Eye Cream 25 mL,8809598451070,0,11.66,24,,,0.0,11.66,0.0,0.0
COSRX,Centella Blemish cream 30ml,8809416470368,365,6.1992,24,8809416470368,6.2,6.2,8.4,0.262,0.262
ELROEL,BLANC COVER CREAM STICK DEEP 13g,8809527486661,484,13.86,24,8809527486661,13.86,13.86,13.86,0.0,0.0
FWEE,Lip&Cheek Glowy Jelly Pot JC01 Honey Peach 4g,8809652585536,627,6.83,24,8809652585536,6.83,6.83,6.83,0.0,0.0
FWEE,Lip&Cheek Glowy Jelly Pot Sugar Powder 4g,8809652585789,439,6.83,24,8809652585789,6.83,6.83,6.83,0.0,0.0
FWEE,Lip&Cheek Glowy Jelly Pot JM01 Compote 4g,8809652585581,625,6.83,24,8809652585581,6.83,6.83,6.83,0.0,0.0
FWEE,Lip&Cheek Glowy Jelly Pot JN01 Lavender Whip 4g,8809652585567,266,6.83,24,8809652585567,6.83,6.83,6.83,0.0,0.0
FWEE,Lip&Cheek Glowy Jelly Pot JN03 Custard 4g,8809652585758,265,6.83,24,8809652585758,6.83,6.83,6.83,0.0,0.0
FWEE,Lip&Cheek Glowy Jelly Pot JP01 Sugar Coat 4g,8809652585543,627,6.83,24,8809652585543,6.83,6.83,6.83,0.0,0.0
FWEE,Lip&Cheek Glowy Jelly Pot JP02 Lolly 4g,8809652585604,447,6.83,24,8809652585604,6.83,6.83,6.83,0.0,0.0
FWEE,Lip&Cheek Glowy Jelly Pot JP03 Sweets 4g,8809652585741,265,6.83,24,8809652585741,6.83,6.83,6.83,0.0,0.0
FWEE,Lip&Cheek Glowy Jelly Pot JR02 Sour Gummy 4g,8809652585611,267,6.83,24,8809652585611,6.83,6.83,6.83,0.0,0.0
FWEE,Lip&Cheek Glowy Jelly Pot JR03 Cherry Ppo 4g,8809652585727,622,6.83,24,8809652585727,6.83,6.83,6.83,0.0,0.0
FWEE,Lip&Cheek Glowy Jelly Pot JS02 Caramelized 4g,8809652585635,267,6.83,24,8809652585635,6.83,6.83,6.83,0.0,0.0
FWEE,Lip&Cheek Glowy Jelly Pot JS03 Couverture 4g,8809652585765,267,6.83,24,8809652585765,6.83,6.83,6.83,0.0,0.0
Heimish,(EU) Moringa Ceramide BB Cream SPF 30 PA++ 28 Tan,8809481762344,216,11.804,24,8809481762344,6.5,6.5,18.16,0.642,0.35
Heimish,(EU) Moringa Ceramide BB Cream SPF 30 PA++ 29 Dark Olive,8809481762351,0,18.16,24,,,0.0,18.16,0.0,0.0
Heimish,(EU) Moringa Ceramide BB Cream SPF 30 PA++ 31 Deep,8809481762146,240,11.804,24,8809481762146,6.5,6.5,18.16,0.642,0.35
Heimish,(EU) RX Hyaluronic Acid Rich Whipped Cream 50ml,8809481762580,471,9.3,24,8809481762580,9.3,9.3,9.3,0.0,0.0
Nature Republic,(EU) HAND & NATURE APPLE MANGO JELLY HAND CREAM,8806173488520,1108,2.38,24,,,0.0,2.38,0.0,0.0
Nature Republic,(EU) REAL NATURE SHEET MASK OLIVE 23ml,8806173495948,16770,0.49,24,8806173495948,0.49,0.49,0.49,0.0,0.0
TIRTIR,MASK FIT RED MINI CUSHION 23N SAND,8809679697502,0,7.59,24,,,0.0,7.59,0.0,0.0
COSRX,COSRX Master Patch Intensive_90pcs,8809598453814,925,6.89292,24,8809598453814,6.89,6.89,9.34,0.262,0.262
COSRX,(EU)Hydrium Green Tea Aqua Soothing Gel Cream 50ml,8809598453616,0,10.74,24,,,0.0,10.74,0.0,0.0
COSRX,Advanced Snail 92 All in one cream_Tube 100g (EU Package),8809598455566,288,6.866499999999999,24,8809598455566,6.87,6.87,8.86,0.225,0.225
COSRX,Advanced Snail 92 All in one cream_Tube 50g (EU Package),8809598455559,6274,3.28944,24,8809598455559,3.29,3.29,4.62,0.288,0.288
Skin1004,Madagascar Centella Toning Toner 210ml,8809913830825,425,6.8315,24,8809913830825,6.82,6.82,10.51,0.351,0.35
Skin1004,Spot Cover Patch,8809913831143,951,1.9304700000000001,24,8809913831143,1.93,1.93,2.81,0.313,0.313
Skin1004,(EU) Madagascar Centella Soothing Cream 30ml,8809913831303,0,3.68,24,,,0.0,3.68,0.0,0.0
Skin1004,(EU) Madagascar Centella Hyalu-Cica Blue Serum 50ml,8809913831099,251,7.324950000000001,24,8809913831099,7.33,7.33,10.39,0.295,0.295
Skin1004,(EU) Madagascar Centella Soothing Cream 75ml(EU Package),8809913830832,0,10.32,24,,,0.0,10.32,0.0,0.0
Skin1004,(EU) Madagascar Centella Ampoule Foam 125ml (EU package),8809913830818,4201,5.67164,24,8809913830818,5.67,5.67,8.39,0.324,0.324
Skin1004,(EU) Madagascar Centella Hyalu-Cica Water-Fit Sun Serum 50ml (EU Package),8809913830450,18000,6.01647,24,8809913830450,6.02,6.02,7.99,0.247,0.247
